diagnoza,diagnoza_nazev_v_tabulce,pocet_pripadu_total,pocet_radku,mkn_kod,mkn_kod_tecka,mkn_nazev,mkn_kod_iri,blok_kod,blok_nazev,blok_source,kapitola_kod_rozsah,kapitola_kod,kapitola_nazev,hierarchie_cz,platnost_od,platnost_do
B30,Virová konjunktivitida,47,15,B30,B30,Virová konjunktivitida,https://mkn10.uzis.cz/prohlizec/B30,B25-B34,Jiné virové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B25-B34 Jiné virové nemoci > B30 Virová konjunktivitida,1994-01-01,
B33,Jiná virová onemocnění nezařazená jinde,5,5,B33,B33,Jiná virová onemocnění nezařazená jinde,https://mkn10.uzis.cz/prohlizec/B33,B25-B34,Jiné virové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B25-B34 Jiné virové nemoci > B33 Jiná virová onemocnění nezařazená jinde,1994-01-01,
B35,Dermatofytóza,3373,2705,B35,B35,Dermatofytóza,https://mkn10.uzis.cz/prohlizec/B35,B35-B49,Mykózy,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B35-B49 Mykózy > B35 Dermatofytóza,1994-01-01,
B36,Jiné povrchové mykózy,29,29,B36,B36,Jiné povrchové mykózy,https://mkn10.uzis.cz/prohlizec/B36,B35-B49,Mykózy,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B35-B49 Mykózy > B36 Jiné povrchové mykózy,1994-01-01,
B37,Kandidóza [candidosis],78,77,B37,B37,Kandidóza [candidosis],https://mkn10.uzis.cz/prohlizec/B37,B35-B49,Mykózy,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B35-B49 Mykózy > B37 Kandidóza [candidosis],1994-01-01,
B45,Kryptokokóza [cryptococcosis],10,10,B45,B45,Kryptokokóza [cryptococcosis],https://mkn10.uzis.cz/prohlizec/B45,B35-B49,Mykózy,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B35-B49 Mykózy > B45 Kryptokokóza [cryptococcosis],1994-01-01,
B48,Jiné mykózy nezařazené jinde,3,3,B48,B48,Jiné mykózy nezařazené jinde,https://mkn10.uzis.cz/prohlizec/B48,B35-B49,Mykózy,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B35-B49 Mykózy > B48 Jiné mykózy nezařazené jinde,1994-01-01,
B50,Malárie‚ původce: Plasmodium falciparum,184,181,B50,B50,Malárie‚ původce: Plasmodium falciparum,https://mkn10.uzis.cz/prohlizec/B50,B50-B64,Protozoární nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B50-B64 Protozoární nemoci > B50 Malárie‚ původce: Plasmodium falciparum,1994-01-01,
B51,Malárie‚ původce: Plasmodium vivax,23,22,B51,B51,Malárie‚ původce: Plasmodium vivax,https://mkn10.uzis.cz/prohlizec/B51,B50-B64,Protozoární nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B50-B64 Protozoární nemoci > B51 Malárie‚ původce: Plasmodium vivax,1994-01-01,
B52,Malárie‚ původce: Plasmodium malariae,8,8,B52,B52,Malárie‚ původce: Plasmodium malariae,https://mkn10.uzis.cz/prohlizec/B52,B50-B64,Protozoární nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B50-B64 Protozoární nemoci > B52 Malárie‚ původce: Plasmodium malariae,1994-01-01,
B53,Jiná parazitologicky ověřená malárie,17,17,B53,B53,Jiná parazitologicky ověřená malárie,https://mkn10.uzis.cz/prohlizec/B53,B50-B64,Protozoární nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B50-B64 Protozoární nemoci > B53 Jiná parazitologicky ověřená malárie,1994-01-01,
B54,Malárie NS,10,10,B54,B54,Malárie NS,https://mkn10.uzis.cz/prohlizec/B54,B50-B64,Protozoární nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B50-B64 Protozoární nemoci > B54 Malárie NS,1994-01-01,
B55,Leishmanióza [leishmaniasis],10,10,B55,B55,Leishmanióza [leishmaniasis],https://mkn10.uzis.cz/prohlizec/B55,B50-B64,Protozoární nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B50-B64 Protozoární nemoci > B55 Leishmanióza [leishmaniasis],1994-01-01,
B58,Toxoplazmóza [toxoplasmosis],784,768,B58,B58,Toxoplazmóza [toxoplasmosis],https://mkn10.uzis.cz/prohlizec/B58,B50-B64,Protozoární nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B50-B64 Protozoární nemoci > B58 Toxoplazmóza [toxoplasmosis],1994-01-01,
B59,Pneumocystóza [pneumocystosis] (J17.3*),5,5,B59,B59,Pneumocystóza [pneumocystosis] (J17.3*),https://mkn10.uzis.cz/prohlizec/B59,B50-B64,Protozoární nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B50-B64 Protozoární nemoci > B59 Pneumocystóza [pneumocystosis] (J17.3*),1994-01-01,2020-12-31
B60,Jiné protozoární nemoci nezařazené jinde,3,3,B60,B60,Jiné protozoární nemoci nezařazené jinde,https://mkn10.uzis.cz/prohlizec/B60,B50-B64,Protozoární nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B50-B64 Protozoární nemoci > B60 Jiné protozoární nemoci nezařazené jinde,1994-01-01,
B65,Schistozomóza [schistosomiasis] a bilharzióza [bilharziasis],116,67,B65,B65,Schistozomóza [schistosomiasis] a bilharzióza [bilharziasis],https://mkn10.uzis.cz/prohlizec/B65,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B65 Schistozomóza [schistosomiasis] a bilharzióza [bilharziasis],1994-01-01,
B67,Echinokokóza,60,59,B67,B67,Echinokokóza,https://mkn10.uzis.cz/prohlizec/B67,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B67 Echinokokóza,1994-01-01,
B68,Tenióza [taeniasis] – napadení tasemnicí,24,24,B68,B68,Tenióza [taeniasis] – napadení tasemnicí,https://mkn10.uzis.cz/prohlizec/B68,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B68 Tenióza [taeniasis] – napadení tasemnicí,1994-01-01,
B69,Cysticerkóza,1,1,B69,B69,Cysticerkóza,https://mkn10.uzis.cz/prohlizec/B69,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B69 Cysticerkóza,1994-01-01,
B70,Difylobotrióza [diphyllobothriasis] a sparganóza [sparganosis],1,1,B70,B70,Difylobotrióza [diphyllobothriasis] a sparganóza [sparganosis],https://mkn10.uzis.cz/prohlizec/B70,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B70 Difylobotrióza [diphyllobothriasis] a sparganóza [sparganosis],1994-01-01,
B71,Jiné infekce cestody – tasemnicemi,11,11,B71,B71,Jiné infekce cestody – tasemnicemi,https://mkn10.uzis.cz/prohlizec/B71,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B71 Jiné infekce cestody – tasemnicemi,1994-01-01,
B75,Trichinóza [trichinellosis],1,1,B75,B75,Trichinóza [trichinellosis],https://mkn10.uzis.cz/prohlizec/B75,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B75 Trichinóza [trichinellosis],1994-01-01,
B76,Onemocnění měchovci,34,33,B76,B76,Onemocnění měchovci,https://mkn10.uzis.cz/prohlizec/B76,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B76 Onemocnění měchovci,1994-01-01,
B77,Askarióza [ascariasis],103,99,B77,B77,Askarióza [ascariasis],https://mkn10.uzis.cz/prohlizec/B77,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B77 Askarióza [ascariasis],1994-01-01,
B78,Strongyloidóza [strongyloidiasis],6,6,B78,B78,Strongyloidóza [strongyloidiasis],https://mkn10.uzis.cz/prohlizec/B78,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B78 Strongyloidóza [strongyloidiasis],1994-01-01,
B79,Trichurióza [trichuriasis],6,5,B79,B79,Trichurióza [trichuriasis],https://mkn10.uzis.cz/prohlizec/B79,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B79 Trichurióza [trichuriasis],1994-01-01,
B80,Enterobióza [enterobiasis],8147,4447,B80,B80,Enterobióza [enterobiasis],https://mkn10.uzis.cz/prohlizec/B80,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B80 Enterobióza [enterobiasis],1994-01-01,
B81,Jiná střevní helmintóza nezařazená jinde,11,11,B81,B81,Jiná střevní helmintóza nezařazená jinde,https://mkn10.uzis.cz/prohlizec/B81,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B81 Jiná střevní helmintóza nezařazená jinde,1994-01-01,
B83,Jiné helmintózy,30,30,B83,B83,Jiné helmintózy,https://mkn10.uzis.cz/prohlizec/B83,B65-B83,Helmintózy – hlístové nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B65-B83 Helmintózy – hlístové nemoci > B83 Jiné helmintózy,1994-01-01,
B85,"Zavšivení – pedikulóza [pediculosis], ftiriáza [phthiriasis]",576,529,B85,B85,"Zavšivení – pedikulóza [pediculosis], ftiriáza [phthiriasis]",https://mkn10.uzis.cz/prohlizec/B85,B85-B89,Zavšivení‚ akarióza a jiná napadení,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,"I. Některé infekční a parazitární nemoci > B85-B89 Zavšivení‚ akarióza a jiná napadení > B85 Zavšivení – pedikulóza [pediculosis], ftiriáza [phthiriasis]",1994-01-01,
B86,Svrab [scabies],47874,22321,B86,B86,Svrab [scabies],https://mkn10.uzis.cz/prohlizec/B86,B85-B89,Zavšivení‚ akarióza a jiná napadení,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B85-B89 Zavšivení‚ akarióza a jiná napadení > B86 Svrab [scabies],1994-01-01,
B88,Napadení jinými ektoparazity,62,62,B88,B88,Napadení jinými ektoparazity,https://mkn10.uzis.cz/prohlizec/B88,B85-B89,Zavšivení‚ akarióza a jiná napadení,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B85-B89 Zavšivení‚ akarióza a jiná napadení > B88 Napadení jinými ektoparazity,1994-01-01,
B95,Streptokok a stafylokok jako příčina nemoci zařazené do jiných kapitol,58,55,B95,B95,Streptokok a stafylokok jako příčina nemoci zařazené do jiných kapitol – streptococcus a staphylococcus,https://mkn10.uzis.cz/prohlizec/B95,B95-B98,Bakteriální‚ virová a jiná infekční agens,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B95-B98 Bakteriální‚ virová a jiná infekční agens > B95 Streptokok a stafylokok jako příčina nemoci zařazené do jiných kapitol – streptococcus a staphylococcus,1994-01-01,
B96,Jiná určená bakteriální agens jako příč. nemoci zař. do jiných kapitol,260,230,B96,B96,Jiná určená bakteriální agens jako příčina nemoci zařazené do jiných kapitol,https://mkn10.uzis.cz/prohlizec/B96,B95-B98,Bakteriální‚ virová a jiná infekční agens,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B95-B98 Bakteriální‚ virová a jiná infekční agens > B96 Jiná určená bakteriální agens jako příčina nemoci zařazené do jiných kapitol,1994-01-01,
B99,Jiné a neurčené infekční nemoci,9,9,B99,B99,Jiné a neurčené infekční nemoci,https://mkn10.uzis.cz/prohlizec/B99,B99,Jiné infekční nemoci,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,A00-B99,I.,Některé infekční a parazitární nemoci,I. Některé infekční a parazitární nemoci > B99 Jiné infekční nemoci > B99 Jiné a neurčené infekční nemoci,1994-01-01,
G00,Bakteriální zánět mozkových a míšních plen (bakter. meningitida) NJ,732,713,G00,G00,Bakteriální zánět mozkových a míšních plen (bakteriální meningitida) nezařazený jinde,https://mkn10.uzis.cz/prohlizec/G00,G00-G09,Zánětlivé nemoci centrální nervové soustavy,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,G00-G99,VI.,Nemoci nervové soustavy,VI. Nemoci nervové soustavy > G00-G09 Zánětlivé nemoci centrální nervové soustavy > G00 Bakteriální zánět mozkových a míšních plen (bakteriální meningitida) nezařazený jinde,1994-01-01,
G51,Poruchy lícního nervu [nervi facialis],43,43,G51,G51,Poruchy lícního nervu [nervi facialis],https://mkn10.uzis.cz/prohlizec/G51,G50-G59,Onemocnění nervů‚ nervových kořenů a pletení,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,G00-G99,VI.,Nemoci nervové soustavy,VI. Nemoci nervové soustavy > G50-G59 Onemocnění nervů‚ nervových kořenů a pletení > G51 Poruchy lícního nervu [nervi facialis],1994-01-01,
G61,Zánětlivá polyneuropatie,4,4,G61,G61,Zánětlivá polyneuropatie,https://mkn10.uzis.cz/prohlizec/G61,G60-G64,Polyneuropatie a jiné nemoci periferní nervové soustavy,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,G00-G99,VI.,Nemoci nervové soustavy,VI. Nemoci nervové soustavy > G60-G64 Polyneuropatie a jiné nemoci periferní nervové soustavy > G61 Zánětlivá polyneuropatie,1994-01-01,
J04,Akutní zánět hrtanu a průdušnice [laryngitis et tracheitis acuta],1,1,J04,J04,Akutní zánět hrtanu a průdušnice [laryngitis et tracheitis acuta],https://mkn10.uzis.cz/prohlizec/J04,J00-J06,Akutní infekce horních dýchacích cest,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,J00-J99,X.,Nemoci dýchací soustavy,X. Nemoci dýchací soustavy > J00-J06 Akutní infekce horních dýchacích cest > J04 Akutní zánět hrtanu a průdušnice [laryngitis et tracheitis acuta],1994-01-01,
J10,Chřipka způsobená identifikovaným sezónním chřipkovým virem,15737,3224,J10,J10,Chřipka způsobená identifikovaným sezónním chřipkovým virem,https://mkn10.uzis.cz/prohlizec/J10,J09-J18,Chřipka a zánět plic (pneumonie),derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,J00-J99,X.,Nemoci dýchací soustavy,X. Nemoci dýchací soustavy > J09-J18 Chřipka a zánět plic (pneumonie) > J10 Chřipka způsobená identifikovaným sezónním chřipkovým virem,1994-01-01,
J12,Virový zánět plic (pneumonie) nezařazený jinde,1238,535,J12,J12,Virový zánět plic (pneumonie) nezařazený jinde,https://mkn10.uzis.cz/prohlizec/J12,J09-J18,Chřipka a zánět plic (pneumonie),derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,J00-J99,X.,Nemoci dýchací soustavy,X. Nemoci dýchací soustavy > J09-J18 Chřipka a zánět plic (pneumonie) > J12 Virový zánět plic (pneumonie) nezařazený jinde,1994-01-01,
J13,Zánět plic‚ původce: Streptococcus pneumoniae,1091,981,J13,J13,Zánět plic‚ původce: Streptococcus pneumoniae,https://mkn10.uzis.cz/prohlizec/J13,J09-J18,Chřipka a zánět plic (pneumonie),derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,J00-J99,X.,Nemoci dýchací soustavy,X. Nemoci dýchací soustavy > J09-J18 Chřipka a zánět plic (pneumonie) > J13 Zánět plic‚ původce: Streptococcus pneumoniae,1994-01-01,
J14,Zánět plic‚ původce: Haemophilus influenzae,48,43,J14,J14,Zánět plic‚ původce: Haemophilus influenzae,https://mkn10.uzis.cz/prohlizec/J14,J09-J18,Chřipka a zánět plic (pneumonie),derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,J00-J99,X.,Nemoci dýchací soustavy,X. Nemoci dýchací soustavy > J09-J18 Chřipka a zánět plic (pneumonie) > J14 Zánět plic‚ původce: Haemophilus influenzae,1994-01-01,
J15,Bakteriální zánět plic (pneumonie) nezařazený jinde,596,482,J15,J15,Bakteriální zánět plic (pneumonie) nezařazený jinde,https://mkn10.uzis.cz/prohlizec/J15,J09-J18,Chřipka a zánět plic (pneumonie),derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,J00-J99,X.,Nemoci dýchací soustavy,X. Nemoci dýchací soustavy > J09-J18 Chřipka a zánět plic (pneumonie) > J15 Bakteriální zánět plic (pneumonie) nezařazený jinde,1994-01-01,
J16,Zánět plic (pneumonie) způsobený jinými infekčními organismy NJ,135,121,J16,J16,Zánět plic (pneumonie) způsobený jinými infekčními organismy nezařazený jinde,https://mkn10.uzis.cz/prohlizec/J16,J09-J18,Chřipka a zánět plic (pneumonie),derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,J00-J99,X.,Nemoci dýchací soustavy,X. Nemoci dýchací soustavy > J09-J18 Chřipka a zánět plic (pneumonie) > J16 Zánět plic (pneumonie) způsobený jinými infekčními organismy nezařazený jinde,1994-01-01,
J17,Zánět plic (pneumonie) při nemocech zařazených jinde,87,75,J17,J17,Zánět plic (pneumonie) při nemocech zařazených jinde,https://mkn10.uzis.cz/prohlizec/J17,J09-J18,Chřipka a zánět plic (pneumonie),derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,J00-J99,X.,Nemoci dýchací soustavy,X. Nemoci dýchací soustavy > J09-J18 Chřipka a zánět plic (pneumonie) > J17 Zánět plic (pneumonie) při nemocech zařazených jinde,1994-01-01,
J18,Pneumonie‚ původce NS,2,2,J18,J18,Pneumonie‚ původce NS,https://mkn10.uzis.cz/prohlizec/J18,J09-J18,Chřipka a zánět plic (pneumonie),derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,J00-J99,X.,Nemoci dýchací soustavy,X. Nemoci dýchací soustavy > J09-J18 Chřipka a zánět plic (pneumonie) > J18 Pneumonie‚ původce NS,1994-01-01,
W54,Kousnutí nebo úder psem,5533,4521,W54,W54,Kousnutí nebo úder psem,https://mkn10.uzis.cz/prohlizec/W54,W50-W64,Vystavení životným mechanickým silám,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,V01-Y98,XX.,Vnější příčiny nemocnosti a úmrtnosti,XX. Vnější příčiny nemocnosti a úmrtnosti > W50-W64 Vystavení životným mechanickým silám > W54 Kousnutí nebo úder psem,1994-01-01,
W55,Kousnutí nebo úder jinými savci,2040,1903,W55,W55,Kousnutí nebo úder jinými savci,https://mkn10.uzis.cz/prohlizec/W55,W50-W64,Vystavení životným mechanickým silám,derived_from_MKN10_block_ranges; open_UZIS_CSV_has_no_explicit_block_columns,V01-Y98,XX.,Vnější příčiny nemocnosti a úmrtnosti,XX. Vnější příčiny nemocnosti a úmrtnosti > W50-W64 Vystavení životným mechanickým silám > W55 Kousnutí nebo úder jinými savci,1994-01-01,
